year_film,year_ceremony,ceremony,category,name,film,winner,year_film_film,imdbID,imdbLink
1976,1977,49,ACTOR IN A SUPPORTING ROLE,Jason Robards,All the President's Men,TRUE,1976All the President's Men,tt0074119,https://www.imdb.com/title/tt0074119/
1976,1977,49,ACTOR IN A SUPPORTING ROLE,Burt Young,Rocky,FALSE,1976Rocky,tt0075148,https://www.imdb.com/title/tt0075148/
1976,1977,49,ACTRESS IN A LEADING ROLE,Marie-Christine Barrault,"Cousin, Cousine",FALSE,"1976Cousin, Cousine",tt0072826,https://www.imdb.com/title/tt0072826/
1976,1977,49,ACTRESS IN A LEADING ROLE,Faye Dunaway,Network,TRUE,1976Network,tt0074958,https://www.imdb.com/title/tt0074958/
1976,1977,49,ACTRESS IN A LEADING ROLE,Talia Shire,Rocky,FALSE,1976Rocky,tt0075148,https://www.imdb.com/title/tt0075148/
1976,1977,49,ACTRESS IN A LEADING ROLE,Sissy Spacek,Carrie,FALSE,1976Carrie,tt0074285,https://www.imdb.com/title/tt0074285/
1976,1977,49,ACTRESS IN A LEADING ROLE,Liv Ullmann,Face to Face,FALSE,1976Face to Face,tt0074147,https://www.imdb.com/title/tt0074147/
1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Jane Alexander,All the President's Men,FALSE,1976All the President's Men,tt0074119,https://www.imdb.com/title/tt0074119/
1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Jodie Foster,Taxi Driver,FALSE,1976Taxi Driver,tt0075314,https://www.imdb.com/title/tt0075314/
1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Lee Grant,Voyage of the Damned,FALSE,1976Voyage of the Damned,tt0075406,https://www.imdb.com/title/tt0075406/
1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Piper Laurie,Carrie,FALSE,1976Carrie,tt0074285,https://www.imdb.com/title/tt0074285/
1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Beatrice Straight,Network,TRUE,1976Network,tt0074958,https://www.imdb.com/title/tt0074958/
1976,1977,49,ART DIRECTION,Art Direction:  George Jenkins;  Set Decoration:  George Gaines,All the President's Men,TRUE,1976All the President's Men,tt0074119,https://www.imdb.com/title/tt0074119/
1976,1977,49,ART DIRECTION,"Art Direction:  Elliot Scott, Norman Reynolds;  Set Decoration:  Peter Howitt",The Incredible Sarah,FALSE,1976The Incredible Sarah,tt0074678,https://www.imdb.com/title/tt0074678/
1976,1977,49,ART DIRECTION,"Art Direction:  Gene Callahan, Jack Collis;  Set Decoration:  Jerry Wunderlich",The Last Tycoon,FALSE,1976The Last Tycoon,tt0074777,https://www.imdb.com/title/tt0074777/
1976,1977,49,ART DIRECTION,Art Direction:  Dale Hennesy;  Set Decoration:  Robert de Vestel,Logan's Run,FALSE,1976Logan's Run,tt0074812,https://www.imdb.com/title/tt0074812/
1976,1977,49,ART DIRECTION,Art Direction:  Robert F. Boyle;  Set Decoration:  Arthur Jeph Parker,The Shootist,FALSE,1976The Shootist,tt0075213,https://www.imdb.com/title/tt0075213/
1976,1977,49,CINEMATOGRAPHY,Haskell Wexler,Bound for Glory,TRUE,1976Bound for Glory,tt0074235,https://www.imdb.com/title/tt0074235/
1976,1977,49,CINEMATOGRAPHY,Richard H. Kline,King Kong,FALSE,1976King Kong,tt0074751,https://www.imdb.com/title/tt0074751/
1976,1977,49,CINEMATOGRAPHY,Ernest Laszlo,Logan's Run,FALSE,1976Logan's Run,tt0074812,https://www.imdb.com/title/tt0074812/
1976,1977,49,CINEMATOGRAPHY,Owen Roizman,Network,FALSE,1976Network,tt0074958,https://www.imdb.com/title/tt0074958/
1976,1977,49,CINEMATOGRAPHY,Robert Surtees,A Star Is Born,FALSE,1976A Star Is Born,tt0075265,https://www.imdb.com/title/tt0075265/
1976,1977,49,COSTUME DESIGN,William Theiss,Bound for Glory,FALSE,1976Bound for Glory,tt0074235,https://www.imdb.com/title/tt0074235/
1976,1977,49,COSTUME DESIGN,Danilo Donati,Fellini's Casanova,TRUE,1976Fellini's Casanova,tt0074291,https://www.imdb.com/title/tt0074291/
1976,1977,49,COSTUME DESIGN,Anthony Mendleson,The Incredible Sarah,FALSE,1976The Incredible Sarah,tt0074678,https://www.imdb.com/title/tt0074678/
1976,1977,49,COSTUME DESIGN,Mary Wills,The Passover Plot,FALSE,1976The Passover Plot,tt0075043,https://www.imdb.com/title/tt0075043/
